Subject number,Word recall result day 1,Study words
50,1,'מחק'
50,1,'תירס'
50,0,'שדכן'
50,1,'רמקול'
50,1,'מדשאה'
50,1,'דגן'
50,0,'ביצה'
50,1,'עציץ'
50,0,'מלתחה'
50,1,'חמאה'
50,0,'מכנס'
50,0,'כובע'
50,1,'שמפו'
50,1,'גבעה'
50,1,'מדרכה'
50,0,'שליח'
50,0,'דגל'
50,0,'מדבקה'
50,0,'דיג'
50,0,'מכתבה'
50,0,'דפדפת'
50,0,'חליל'
50,0,'מכללה'
50,0,'כתר'
50,0,'קלסר'
50,0,'ארון'
50,0,'עגלה'
51,1,'בלון'
51,1,'מדבקה'
51,0,'מקלדת'
51,1,'מדשאה'
51,0,'כתר'
51,0,'שלט'
51,1,'חמאה'
51,1,'תירס'
51,0,'קלסר'
51,1,'מכתבה'
51,0,'רמקול'
51,0,'שמפו'
51,0,'כובע'
51,0,'מחק'
51,0,'עגלה'
51,0,'ביצה'
51,1,'מכללה'
51,1,'דפדפת'
51,1,'מלתחה'
51,1,'עציץ'
51,1,'גבעה'
51,0,'ארון'
51,1,'כיסא'
51,0,'חליל'
51,0,'שליח'
51,0,'מדרכה'
51,0,'דגן'
51,0,'מכנס'
51,1,'מכולת'
51,1,'שדכן'
51,1,'דיג'
51,0,'דגל'
52,1,'שלט'
52,1,'דפדפת'
52,1,'גבעה'
52,0,'מכנס'
52,0,'דיג'
52,0,'ארון'
52,0,'כובע'
52,0,'שמפו'
52,0,'מדבקה'
52,0,'חליל'
52,1,'שדכן'
52,1,'חמאה'
52,1,'מכללה'
52,0,'מלתחה'
52,0,'רמקול'
52,1,'דגן'
52,1,'עציץ'
52,1,'שליח'
52,1,'קלסר'
52,0,'מכולת'
52,1,'מדרכה'
52,1,'כתר'
52,0,'מכתבה'
52,0,'ביצה'
52,1,'בלון'
52,1,'תירס'
52,1,'כיסא'
52,0,'דגל'
52,1,'מדשאה'
52,1,'מקלדת'
52,1,'מחק'
52,0,'עגלה'
53,1,'מקלדת'
53,1,'כובע'
53,0,'שדכן'
53,0,'מכתבה'
53,0,'דיג'
53,0,'עגלה'
53,0,'שלט'
53,0,'שמפו'
53,0,'חליל'
53,0,'דגן'
53,0,'מדרכה'
53,0,'מדשאה'
53,0,'מדבקה'
53,0,'ביצה'
53,0,'גבעה'
53,0,'שליח'
53,1,'דפדפת'
53,1,'עציץ'
53,1,'מכנס'
53,0,'בלון'
53,1,'מכולת'
53,1,'רמקול'
53,0,'חמאה'
53,0,'מלתחה'
53,0,'תירס'
53,0,'כיסא'
53,0,'ארון'
53,0,'דגל'
53,1,'מחק'
53,0,'קלסר'
53,1,'מכללה'
53,0,'כתר'
54,1,'מכולת'
54,0,'תירס'
54,0,'מלתחה'
54,1,'כיסא'
54,0,'מדרכה'
54,0,'דיג'
54,0,'שמפו'
54,0,'עגלה'
54,0,'דפדפת'
54,0,'שלט'
54,1,'ביצה'
54,1,'שליח'
54,1,'כתר'
54,1,'קלסר'
54,0,'מקלדת'
54,1,'בלון'
54,0,'ארון'
54,0,'עציץ'
54,0,'דגל'
54,0,'רמקול'
54,1,'מכתבה'
54,0,'מכנס'
54,0,'שדכן'
54,0,'מדבקה'
54,0,'חליל'
54,0,'גבעה'
54,1,'כובע'
54,1,'מחק'
54,0,'מכללה'
54,0,'דגן'
54,1,'חמאה'
54,1,'מדשאה'
55,1,'מכנס'
55,0,'חמאה'
55,1,'מחק'
55,0,'חליל'
55,0,'דגן'
55,0,'כיסא'
55,1,'שדכן'
55,0,'ארון'
55,0,'מכולת'
55,0,'דגל'
55,0,'דפדפת'
55,0,'שמפו'
55,0,'בלון'
55,1,'מכתבה'
55,0,'רמקול'
55,0,'מקלדת'
55,1,'עגלה'
55,1,'מדבקה'
55,1,'ביצה'
55,1,'שליח'
55,1,'גבעה'
55,0,'דיג'
55,1,'כתר'
55,1,'מכללה'
55,1,'שלט'
55,0,'מלתחה'
55,0,'מדרכה'
55,0,'קלסר'
55,1,'מדשאה'
55,1,'תירס'
55,1,'עציץ'
55,1,'כובע'
56,0,'מדרכה'
56,0,'מקלדת'
56,0,'שדכן'
56,0,'שליח'
56,0,'מכתבה'
56,0,'מדבקה'
56,0,'חליל'
56,1,'שלט'
56,1,'ארון'
56,0,'דפדפת'
56,0,'גבעה'
56,0,'דגן'
56,0,'כיסא'
56,0,'מחק'
56,0,'עגלה'
56,0,'עציץ'
56,1,'בלון'
56,1,'דיג'
56,0,'ביצה'
56,0,'חמאה'
56,1,'תירס'
56,0,'מכנס'
56,1,'מכללה'
56,0,'שמפו'
56,0,'כתר'
56,0,'מלתחה'
56,0,'מכולת'
56,1,'מדשאה'
56,0,'דגל'
56,0,'קלסר'
56,1,'כובע'
56,0,'רמקול'
57,1,'מכולת'
57,1,'מחק'
57,0,'שמפו'
57,0,'בלון'
57,1,'מכתבה'
57,0,'מכנס'
57,0,'קלסר'
57,0,'ארון'
57,1,'שליח'
57,1,'דגל'
57,0,'כתר'
57,1,'מדשאה'
57,0,'מקלדת'
57,0,'תירס'
57,0,'כובע'
57,0,'רמקול'
57,1,'מדרכה'
57,1,'חמאה'
57,1,'עגלה'
57,1,'עציץ'
57,0,'דגן'
57,1,'מדבקה'
57,0,'חליל'
57,1,'מכללה'
